qty,german,english
ich 5890279,ich,I
sie 3806767,sie,she
das 3122198,das,the
ist 3025610,ist,is
du 2947020,du,you
nicht 2756783,nicht,not
die 2484854,die,the
es 2303025,es,it
und 2289891,und,and
der 1726001,der,the
wir 1721620,wir,we
was 1696010,was,What
zu 1424706,zu,to
er 1352161,er,he
ein 1315301,ein,a
in 1231372,in,in
ja 1054114,ja,Yes
mir 1019451,mir,me
mit 1014541,mit,with
wie 928920,wie,How
den 920646,den,the
mich 893076,mich,me
auf 881418,auf,on
dass 879520,dass,that
aber 854492,aber,but
eine 839485,eine,one
so 813903,so,so
hat 799017,hat,has
hier 754243,hier,here
haben 742327,haben,have
für 735252,für,for
sind 727078,sind,are
war 712337,war,was
von 706490,von,from
wenn 694462,wenn,if
dich 688780,dich,you
ihr 655351,ihr,her
nein 641479,nein,no
habe 636175,habe,have
an 627600,an,at
bin 576589,bin,am
noch 572486,noch,still
nur 564245,nur,only
da 564244,da,there
dir 554802,dir,you
sich 533395,sich,itself
einen 532402,einen,a
uns 523604,uns,us
hast 511491,hast,have
dem 465044,dem,dem
kann 461755,kann,can
gut 452726,gut,good
auch 449250,auch,also
schon 442343,schon,already
als 440490,als,as
sein 440142,sein,be
mal 435631,mal,just
jetzt 435411,jetzt,now
ihn 435147,ihn,him
dann 429424,dann,then
aus 425184,aus,out of
meine 420280,meine,mine
um 417759,um,around
im 403737,im,in the
wird 394216,wird,becomes
mein 384765,mein,my
bist 381498,bist,are
doch 381456,doch,but
alles 366575,alles,everything
weiß 357869,weiß,white
keine 349315,keine,no
oder 341214,oder,or
nach 326208,nach,after
s 309957,s,S
nichts 308672,nichts,nothing
man 300922,man,man
muss 295567,muss,must
werden 294676,werden,become
will 293445,will,want
ihnen 292370,ihnen,them
geht 290919,geht,goes
wo 288363,wo,where
etwas 286968,etwas,something
oh 284455,oh,Oh
mehr 281301,mehr,more
bei 277087,bei,at
also 276548,also,so
bitte 261548,bitte,please
immer 260238,immer,always
hab 252697,hab,have
warum 251177,warum,Why
vor 247840,vor,before
los 242543,los,Come on
können 240905,können,can
wieder 240508,wieder,again
sagen 236702,sagen,say
machen 228412,machen,make
danke 227937,danke,Thanks
sehr 226425,sehr,very
alle 224850,alle,all
denn 224543,denn,because
mann 222707,mann,man
tun 219102,tun,do
ihm 217025,ihm,him
zum 216201,zum,for the
gehen 213952,gehen,go
sehen 212948,sehen,see
vielleicht 212216,vielleicht,perhaps
einem 210889,einem,a
wer 210823,wer,who
ihre 208915,ihre,her
diese 208607,diese,this
euch 206931,euch,you
einer 202097,einer,one
komm 201117,komm,come
über 196855,über,above
gibt 196771,gibt,gives
okay 196683,okay,OK
wissen 192456,wissen,knowledge
deine 191923,deine,your
müssen 191257,müssen,must
soll 191100,soll,should
werde 187290,werde,become
nie 185925,nie,never
wirklich 185166,wirklich,really
hey 185011,hey,hey
kein 177553,kein,no
viel 176767,viel,much
weg 175124,weg,away
würde 175047,würde,would
tut 172752,tut,does
am 170913,am,at the
des 169182,des,of
einfach 168892,einfach,simply
leben 167721,leben,life
hatte 162793,hatte,had
zeit 160393,zeit,time
weil 159743,weil,because
willst 159106,willst,want
kommen 156754,kommen,come
dein 155913,dein,your
heute 154162,heute,today
kommt 153845,kommt,comes
wollen 152595,wollen,want
damit 150635,damit,with it
ganz 149683,ganz,quite
wäre 149557,wäre,were
wollte 148643,wollte,wanted
weißt 147614,weißt,white
ok 147191,ok,OK
sicher 145360,sicher,secure
gesagt 144870,gesagt,said
frau 143725,frau,woman
nun 143552,nun,so
bis 142166,bis,until
wurde 141236,wurde,became
leid 140641,leid,sorrow
na 140395,na,n/a
kannst 136795,kannst,can
macht 134768,macht,might
dieser 134205,dieser,this
zurück 133326,zurück,back
lassen 131393,lassen,let
hallo 128561,hallo,Hello
meinen 128288,meinen,mean
gott 127498,gott,God
seine 126038,seine,his
hätte 125345,hätte,would have
zwei 122625,zwei,two
könnte 117870,könnte,could
genau 117667,genau,Exactly
waren 117474,waren,were
zur 115474,zur,to
lass 115316,lass,let
klar 113688,klar,clear
morgen 112042,morgen,morning
leute 109956,leute,people
vater 109048,vater,father
schön 106669,schön,nice
glaube 105941,glaube,believe
mr. 105640,mr.,mr.
ab 104853,ab,away
gerade 104130,gerade,straight
tag 103559,tag,Day
gesehen 103106,gesehen,seen
reden 101992,reden,talk
wohl 100488,wohl,probably
liebe 99301,liebe,love
sollte 98826,sollte,should
sagte 98657,sagte,said
unsere 98478,unsere,our
jemand 98283,jemand,someone
geld 98052,geld,money
durch 97587,durch,through
ob 97001,ob,if
keinen 96394,keinen,no
mutter 95349,mutter,mother
raus 95012,raus,out
gemacht 94261,gemacht,made
paar 93818,paar,couple
mach 93345,mach,make
passiert 93021,passiert,happened
dachte 92867,dachte,thought
besser 92556,besser,better
musst 92429,musst,must
wieso 92191,wieso,how come
sir 92012,sir,sir
dieses 91148,dieses,this
selbst 90135,selbst,himself
gehört 89459,gehört,heard
möchte 89068,möchte,want
ohne 88934,ohne,without
hör 88336,hör,listening
her 87571,her,from
sag 87203,sag,say
meiner 86264,meiner,mine
anderen 86205,anderen,others
helfen 85664,helfen,help
nacht 85102,nacht,night
finden 83987,finden,find
diesen 83932,diesen,this
gute 83835,gute,good
wirst 83791,wirst,become
lange 82872,lange,long
natürlich 82710,natürlich,naturally
ach 82252,ach,Oh
meinem 82233,meinem,my
gar 82082,gar,even
ins 80529,ins,into the
sei 80433,sei,be
dort 79951,dort,there
weiter 79598,weiter,further
geben 78926,geben,give
seit 78517,seit,since
gleich 78080,gleich,even
sagt 78008,sagt,says
recht 77861,recht,right
ihren 76796,ihren,your
richtig 76789,richtig,correct
ordnung 76635,ordnung,order
vom 76597,vom,from the
hören 76109,hören,hear
sieht 75968,sieht,sees
davon 75947,davon,of that
dafür 75302,dafür,for that
geh 74468,geh,walk
diesem 74234,diesem,this
wegen 74062,wegen,because of
hause 73059,hause,home
sollten 72777,sollten,should
mädchen 72685,mädchen,girl
hin 72272,hin,there
sollen 71445,sollen,should
abend 71375,abend,evening
haus 70976,haus,a house
denke 70824,denke,think
viele 70545,viele,many
drei 69824,drei,three
deinen 69621,deinen,yours
freund 69586,freund,friend
guten 68866,guten,good
unser 68722,unser,our
warte 68407,warte,wait
machst 67926,machst,do
menschen 67631,menschen,people
essen 67594,essen,eat
angst 67249,angst,fear
bleiben 67238,bleiben,remain
zusammen 66885,zusammen,together
welt 66821,welt,world
unter 66173,unter,under
habt 66045,habt,have
schnell 66011,schnell,fast
andere 65229,andere,other
tot 64995,tot,dead
getan 64404,getan,did
darf 64161,darf,may
erst 64092,erst,first
rein 64028,rein,pure
stimmt 63896,stimmt,true
nehmen 63773,nehmen,take
kinder 63716,kinder,children
eines 63710,eines,one
glauben 63577,glauben,believe
bringen 63285,bringen,bring
ganze 62461,ganze,whole
genug 62381,genug,enough
scheiße 61982,scheiße,Fuck
brauchen 61791,brauchen,need
gegen 61438,gegen,against
moment 61265,moment,moment
junge 60843,junge,boy
steht 60832,steht,stands
sonst 60478,sonst,otherwise
musik 59500,musik,music
arbeit 59309,arbeit,work
seid 58799,seid,are
ihrer 58510,ihrer,of their
fragen 58352,fragen,questions
herr 58200,herr,Mr
dabei 57923,dabei,included
heißt 57306,heißt,is called
familie 57288,familie,family
warten 56911,warten,wait
niemand 56907,niemand,no one
sofort 56605,sofort,immediately
bevor 56210,bevor,before
jahre 56075,jahre,years
einmal 55398,einmal,once
problem 54783,problem,problem
sohn 54396,sohn,son
wann 54105,wann,When
brauche 53799,brauche,need
fertig 53738,fertig,complete
halt 53723,halt,stop
allein 53720,allein,alone
beim 53673,beim,at the
sprechen 53232,sprechen,speak
beide 53120,beide,both
gefunden 53083,gefunden,found
hatten 53008,hatten,had
sache 52830,sache,matter
hilfe 52679,hilfe,help
verdammt 52499,verdammt,damned
ne 52438,ne,ne
jeder 52254,jeder,everyone
warst 52211,warst,beings
gern 52147,gern,gladly
konnte 51818,konnte,could
darüber 51711,darüber,about it
halten 51690,halten,hold
siehst 51444,siehst,see
verstehe 51294,verstehe,understand
jahren 51158,jahren,years
kam 51041,kam,came
kind 50922,kind,child
wusste 50878,wusste,knew
wahr 50700,wahr,true
seinen 50311,seinen,his
dazu 50144,dazu,in addition
bruder 50137,bruder,brother
daran 50081,daran,to it
ihrem 50046,ihrem,hers
denken 49912,denken,think
könnten 49708,könnten,might
dank 49155,dank,thanks to
würden 49143,würden,would
lieber 49123,lieber,Dear
fall 49042,fall,case
deiner 48756,deiner,yours
sehe 48293,sehe,see
egal 48287,egal,doesn't matter
kennen 48114,kennen,know
deinem 48010,deinem,yours
vergessen 47889,vergessen,forget
frage 47512,frage,ask
mache 47510,mache,make
komme 47282,komme,come
sage 47197,sage,legend
mag 47150,mag,like
sieh 47133,sieh,see
echt 46884,echt,Really
gib 46863,gib,give
eigentlich 46744,eigentlich,actually
jeden 46594,jeden,every
dad 46472,dad,dad
gab 46178,gab,gave
uhr 46117,uhr,clock
stadt 45812,stadt,city
männer 45451,männer,men
baby 45434,baby,infant
fahren 45060,fahren,drive
namen 44998,namen,names
bekommen 44852,bekommen,receive
kopf 44851,kopf,head
hi 44653,hi,Hi
gehe 44502,gehe,go
kleine 44338,kleine,small
später 44320,später,later
glück 44295,glück,happiness
letzte 44246,letzte,last
freunde 43913,freunde,friends
n 43890,n,n
all 43808,all,Alles
darauf 43236,darauf,on it
ende 43216,ende,end
dr. 42899,dr.,Dr.
bald 42834,bald,soon
töten 42735,töten,kill
dinge 42560,dinge,things
meinst 42522,meinst,mean
toll 42438,toll,Great
eins 42157,eins,one
minuten 42139,minuten,minute
vielen 42047,vielen,many
bereit 41925,bereit,ready
weit 41558,weit,far
ahnung 41525,ahnung,idea
seiner 41478,seiner,his
bisschen 41471,bisschen,a little
tür 41457,tür,door
auto 41372,auto,automobile
jungs 40783,jungs,guys
eure 40647,eure,your
augen 40593,augen,eyes
polizei 40572,polizei,police
stehen 40469,stehen,stand
sterben 40334,sterben,die
hätten 40190,hätten,have
draußen 40075,draußen,outside
kenne 39750,kenne,know
fast 39542,fast,nearly
runter 39290,runter,down
vorbei 38763,vorbei,over
treffen 38758,treffen,meet
gerne 38739,gerne,gladly
dran 38593,dran,your turn
wurden 38564,wurden,became
arbeiten 38510,arbeiten,work
mom 38250,mom,mom
verrückt 38126,verrückt,crazy
neue 38119,neue,new
ging 38051,ging,went
hinter 37964,hinter,behind
sorgen 37844,sorgen,care for
einzige 37724,einzige,only
jemanden 37451,jemanden,someone
darum 37424,darum,therefore
tochter 37375,tochter,daughter
braucht 37187,braucht,needs
idee 37181,idee,idea
schwester 37032,schwester,sister
drin 36941,drin,in it
ruhig 36940,ruhig,quiet
sah 36936,sah,saw
ganzen 36929,ganzen,entire
spät 36834,spät,late
ziemlich 36820,ziemlich,quite
solltest 36770,solltest,should
name 36668,name,Surname
sogar 36650,sogar,even
kurz 36629,kurz,short
kerl 36512,kerl,Guy
frauen 36457,frauen,women
liegt 36313,liegt,lies
suchen 36294,suchen,seek
finde 36286,finde,find
je 36205,je,ever
woher 36061,woher,from where
lang 36029,lang,long
job 35995,job,job
keiner 35951,keiner,none
seinem 35907,seinem,his
hört 35796,hört,hear
verstehen 35693,verstehen,understand
spielen 35600,spielen,play
s. 35596,s.,s.
überhaupt 35566,überhaupt,at all
teufel 35421,teufel,devil
verstanden 35353,verstanden,understood
verloren 35282,verloren,lost
große 35255,große,size
hand 35247,hand,hand
grund 35243,grund,reason
jahr 35092,jahr,year
kommst 34951,kommst,come
mama 34883,mama,mummy
ruhe 34794,ruhe,quiet
gewesen 34766,gewesen,been
tod 34408,tod,death
stunden 34244,stunden,hours
hoffe 34207,hoffe,hope
denkst 34170,denkst,thinking
oben 34115,oben,above
gestern 34095,gestern,yesterday
versuchen 34093,versuchen,attempt
art 34062,art,kind
letzten 34029,letzten,last
schatz 34026,schatz,treasure
endlich 33924,endlich,finally
he 33922,he,hey
nimm 33866,nimm,take
etwa 33845,etwa,approximately
erzählt 33821,erzählt,told
läuft 33798,läuft,running
schwer 33640,schwer,difficult
anders 33554,anders,different
miss 33536,miss,miss
musste 33428,musste,had to
fünf 33424,fünf,five
wasser 33387,wasser,water
lässt 33377,lässt,leaves
erste 33254,erste,first
versucht 33190,versucht,tried
gekommen 33073,gekommen,came
geschichte 33070,geschichte,story
wenig 33015,wenig,few
holen 32820,holen,fetch
bedeutet 32688,bedeutet,means
nett 32685,nett,kind
wahrheit 32627,wahrheit,truth
woche 32543,woche,week
bringt 32528,bringt,brings
deshalb 32451,deshalb,for this reason
welche 32349,welche,which
bestimmt 32232,bestimmt,certainly
hoch 32147,hoch,high
alter 32101,alter,age
sagst 32048,sagst,say
schau 32038,schau,look
ah 31832,ah,uh
land 31728,land,country
zimmer 31727,zimmer,room
wagen 31434,wagen,dare
vier 31390,vier,four
gefallen 31368,gefallen,fallen
spaß 31361,spaß,fun
niemals 31303,niemals,never
schuld 31228,schuld,fault
getötet 31223,getötet,killed
wollten 31158,wollten,wanted to
verlassen 31021,verlassen,leave
zeigen 30869,zeigen,show
beste 30671,beste,best
ernst 30649,ernst,serious
unserer 30644,unserer,ours
denen 30608,denen,whom
ort 30562,ort,location
bleibt 30520,bleibt,remains
würdest 30516,würdest,would
manchmal 30500,manchmal,sometimes
glaubst 30407,glaubst,believe
seite 30345,seite,page
lasst 30331,lasst,leaves
zwischen 30326,zwischen,between
eben 30288,eben,even
während 30284,während,while
spiel 30057,spiel,game
nehme 30019,nehme,take
ersten 29956,ersten,first
guter 29956,guter,goods
chance 29888,chance,chance
freundin 29850,freundin,girlfriend
krieg 29815,krieg,war
gefällt 29665,gefällt,pleases
kleinen 29378,kleinen,small
erzählen 29301,erzählen,tell
anderes 29170,anderes,other
tage 29111,tage,days
entschuldigen 29089,entschuldigen,excuse
wichtig 29007,wichtig,important
gehst 28954,gehst,walking
allen 28945,allen,all
bett 28931,bett,bed
mrs. 28822,mrs.,Mrs.
sachen 28679,sachen,things
the 28674,the,the
schlecht 28460,schlecht,bad
schule 28409,schule,school
entschuldigung 28406,entschuldigung,excuse
wort 28327,wort,word
john 28291,john,John
hättest 28253,hättest,would have
wären 28193,wären,be
typ 27983,typ,Type
schlafen 27946,schlafen,sleep
äh 27883,äh,uh
tu 27733,tu,tu
euer 27634,euer,your
captain 27491,captain,captain
gesicht 27489,gesicht,face
falls 27447,falls,if
neuen 27364,neuen,new
bloß 27288,bloß,just
unten 27259,unten,below
teil 27243,teil,part
beiden 27228,beiden,both
mensch 27093,mensch,person
kleiner 27048,kleiner,smaller
stellen 26821,stellen,place
oft 26820,oft,often
sorge 26812,sorge,worries
gedacht 26691,gedacht,thought
tust 26635,tust,tust
trinken 26484,trinken,drink
einige 26477,einige,some
dies 26436,dies,this
ding 26389,ding,thing
unseren 26378,unseren,ours
kriegen 26366,kriegen,get
blut 26293,blut,blood
ehrlich 26290,ehrlich,honest
eltern 26221,eltern,parents
scheint 26026,scheint,appears
herz 26008,herz,heart
jack 25967,jack,Jack
glücklich 25915,glücklich,happy
alte 25827,alte,old
alt 25682,alt,old
bleib 25656,bleib,stay
wiedersehen 25645,wiedersehen,reunite
frei 25635,frei,free
wen 25569,wen,whom
drauf 25564,drauf,on it
möglich 25388,möglich,possible
irgendwie 25378,irgendwie,somehow
reicht 25343,reicht,suffices
fest 25199,fest,firmly
besten 25164,besten,best
waffe 25140,waffe,weapon
kaum 25058,kaum,barely
irgendwas 24950,irgendwas,anything
klingt 24910,klingt,sounds
platz 24820,platz,place
brauchst 24773,brauchst,needs
rede 24754,rede,speech
papa 24707,papa,father
falsch 24701,falsch,incorrect
sondern 24687,sondern,rather
alten 24660,alten,old
nummer 24641,nummer,number
früher 24599,früher,earlier
jungen 24498,jungen,boys
wohin 24373,wohin,where
außer 24306,außer,except
früh 24189,früh,early
setzen 24061,setzen,set
zuerst 24005,zuerst,first
wahrscheinlich 23968,wahrscheinlich,probably
dürfen 23930,dürfen,may
jede 23900,jede,every
arsch 23823,arsch,ass
telefon 23581,telefon,phone
tue 23560,tue,do
kennst 23541,kennst,know
willkommen 23375,willkommen,welcome
plan 23291,plan,plan
großen 23269,großen,huge
retten 23258,retten,rescue
hierher 23229,hierher,here
wär 23099,wär,would be
bring 23068,bring,bring
fehler 22947,fehler,mistake
wollt 22936,wollt,want
dollar 22913,dollar,dollar
zehn 22855,zehn,ten
allem 22790,allem,all
pass 22790,pass,passport
nächste 22714,nächste,next
stunde 22665,stunde,hour
hände 22645,hände,hands
gegeben 22620,gegeben,given
menge 22618,menge,crowd
langsam 22581,langsam,slow
bereits 22535,bereits,already
wartet 22512,wartet,waiting
sechs 22454,sechs,six
lieben 22407,lieben,love
meines 22280,meines,mine
büro 22253,büro,office
nächsten 22247,nächsten,next
gebe 22215,gebe,gift
wochen 22080,wochen,weeks
ruf 21947,ruf,call
schaffen 21929,schaffen,create
leider 21867,leider,unfortunately
scheiß 21719,scheiß,shit
hölle 21656,hölle,hell
trotzdem 21476,trotzdem,despite it
doktor 21392,doktor,doctor
tja 21330,tja,well
new 21321,new,new
voll 21320,voll,full
film 21254,film,Movie
überall 21161,überall,everywhere
hund 21146,hund,dog
geworden 21015,geworden,become
direkt 21011,direkt,direct
wolltest 20973,wolltest,wanted
tat 20923,tat,did
denkt 20863,denkt,thinks
schiff 20825,schiff,ship
neues 20814,neues,new
wem 20802,wem,whom
könig 20785,könig,king
danach 20649,danach,thereafter
funktioniert 20608,funktioniert,functions
hattest 20582,hattest,hate
lernen 20579,lernen,learn
deswegen 20564,deswegen,because of this
wow 20470,wow,Wow
nennen 20467,nennen,to name
hm 20416,hm,Hm
feuer 20404,feuer,fire
laufen 20390,laufen,run
alleine 20359,alleine,alone
erinnern 20326,erinnern,remember
völlig 20317,völlig,fully
kleines 20305,kleines,small
könnt 20255,könnt,can
stelle 20224,stelle,Job
kumpel 20189,kumpel,Dude
verlieren 20125,verlieren,lose
probleme 20116,probleme,problems
spricht 20030,spricht,speaks
kaffee 19999,kaffee,coffee
luft 19958,luft,air
fand 19911,fand,found
i 19718,i,I
entschuldige 19709,entschuldige,sorry
ziehen 19643,ziehen,pull
verschwinden 19631,verschwinden,disappear
könntest 19588,könntest,might
seht 19586,seht,look
aufhören 19532,aufhören,stop
eigenen 19530,eigenen,own
richtige 19499,richtige,right one
unserem 19459,unserem,ours
suche 19440,suche,search
zwar 19381,zwar,that is
groß 19362,groß,large
hol 19339,hol,brow
buch 19306,buch,book
krank 19265,krank,sick
fühle 19176,fühle,feel
jedes 19154,jedes,every
verstehst 19139,verstehst,understand
wert 19128,wert,value
arzt 19080,arzt,physician
froh 19077,froh,glad
versuche 18964,versuche,try
straße 18963,straße,street
rufen 18953,rufen,call
heiraten 18905,heiraten,marry
super 18808,super,Excellent
sam 18717,sam,sam
lebt 18642,lebt,lives
gutes 18638,gutes,good
lasse 18636,lasse,let
onkel 18581,onkel,uncle
total 18569,total,total
gebracht 18552,gebracht,brought
party 18531,party,party
erklären 18526,erklären,explain
spielt 18526,spielt,plays
wahl 18477,wahl,choice
vertrauen 18459,vertrauen,trust
damals 18434,damals,at that time
tagen 18366,tagen,days
leicht 18358,leicht,light
nachdem 18300,nachdem,after
gegangen 18296,gegangen,gone
gefühl 18285,gefühl,feeling
kaufen 18278,kaufen,buy
geschafft 18271,geschafft,done
typen 18217,typen,guy
interessiert 18211,interessiert,interested
möchten 18138,möchten,want
halte 18121,halte,hold
hält 18118,hält,holds
glaub 18114,glaub,belief
irgendwo 18104,irgendwo,somewhere
stück 18090,stück,piece
genauso 18069,genauso,just as
kennt 17994,kennt,knows
genommen 17993,genommen,taken
zukunft 17963,zukunft,future
weniger 17950,weniger,fewer
cool 17909,cool,cool
licht 17780,licht,light
getroffen 17775,getroffen,met
himmel 17755,himmel,heaven
nachricht 17710,nachricht,news
drüben 17704,drüben,over there
passt 17667,passt,fits
sagten 17649,sagten,said
kümmern 17618,kümmern,take care
laut 17612,laut,loud
vergiss 17602,vergiss,forgetful
angerufen 17582,angerufen,called
sitzen 17556,sitzen,sit
daß 17517,daß,that
erde 17474,erde,earth
großer 17433,großer,greater
schlüssel 17425,schlüssel,key
rest 17407,rest,rest
passieren 17383,passieren,happen
eher 17329,eher,rather
gefragt 17247,gefragt,asked
gefängnis 17175,gefängnis,jail
opfer 17150,opfer,victim
körper 17147,körper,body
solche 17138,solche,such
mist 17132,mist,damn
mr 17083,mr,mr
findet 17000,findet,find
schreiben 16942,schreiben,write
böse 16940,böse,evil
gesprochen 16898,gesprochen,spoken
versuch 16884,versuch,attempt
vorstellen 16820,vorstellen,introduce
wovon 16791,wovon,About what
sobald 16778,sobald,as soon as
nochmal 16749,nochmal,again
herren 16748,herren,Men's
sex 16739,sex,sex
waffen 16732,waffen,weapons
wohnung 16722,wohnung,apartment
weh 16694,weh,sore
heißen 16650,heißen,be called
krankenhaus 16645,krankenhaus,hospital
bringe 16621,bringe,bring
höre 16609,höre,listen
millionen 16605,millionen,millions
klasse 16595,klasse,class
hart 16572,hart,hard
worden 16568,worden,gone
sinn 16557,sinn,sense
außerdem 16556,außerdem,aside from that
verletzt 16552,verletzt,injured
ändern 16487,ändern,change
erfahren 16462,erfahren,experience
tragen 16425,tragen,carry
wenigstens 16418,wenigstens,at least
vorsichtig 16349,vorsichtig,cautious
daddy 16329,daddy,daddy
stolz 16247,stolz,proud
stark 16208,stark,strong
fällt 16206,fällt,fall
möchtest 16205,möchtest,want
leuten 16172,leuten,people
besonders 16170,besonders,particularly
schöne 16144,schöne,lovely
schicken 16123,schicken,send
person 16074,person,person
schätze 16063,schätze,appreciate
solange 16060,solange,as long as
länger 15996,länger,longer
großartig 15979,großartig,great
lacht 15975,lacht,laughs
anrufen 15965,anrufen,call
stand 15933,stand,was standing
redest 15893,redest,speech
fühlen 15884,fühlen,feel
erwartet 15879,erwartet,expected
boden 15878,boden,floor
boss 15863,boss,boss
stimme 15843,stimme,agree
glaubt 15840,glaubt,believes
still 15835,still,quiet
sicherheit 15829,sicherheit,security
setz 15786,setz,setting
ma 15762,ma,MA
mund 15761,mund,mouth
kämpfen 15639,kämpfen,battle
wisst 15636,wisst,know
lachen 15635,lachen,laugh
hörst 15623,hörst,hear
zeug 15621,zeug,things
lustig 15572,lustig,funny
umbringen 15552,umbringen,kill
sollst 15551,sollst,thorough
hasse 15536,hasse,hate
schlimm 15521,schlimm,terrible
o 15521,o,O
unglaublich 15444,unglaublich,incredible
wärst 15430,wärst,be
laden 15400,laden,load
führen 15362,führen,lead
gestorben 15359,gestorben,died
schauen 15350,schauen,look
meinung 15337,meinung,opinion
lesen 15312,lesen,read
mörder 15310,mörder,murderer
frank 15303,frank,frank
ähm 15268,ähm,um
geschehen 15259,geschehen,happen
geschäft 15254,geschäft,business
idiot 15243,idiot,idiot
verzeihung 15194,verzeihung,forgiveness
fliegen 15169,fliegen,fly
zeig 15162,zeig,show
team 15159,team,team
general 15146,general,general
mike 15058,mike,Mike
aufs 15026,aufs,onto
york 15009,york,York
vorher 15005,vorher,previously
schluss 15005,schluss,ending
schneller 14990,schneller,more quickly
liebt 14978,liebt,loved
verdient 14961,verdient,earned
mögen 14944,mögen,like
meisten 14891,meisten,most
denk 14888,denk,think
umgebracht 14878,umgebracht,killed
perfekt 14848,perfekt,perfect
versprochen 14822,versprochen,promised
handy 14818,handy,mobile
hinten 14804,hinten,rear
monate 14786,monate,months
erinnere 14769,erinnere,remind
acht 14757,acht,eight
arbeitet 14747,arbeitet,is working
fallen 14704,fallen,fall
rufe 14701,rufe,calls
nötig 14694,nötig,necessary
a 14676,a,A
mord 14671,mord,murder
heraus 14613,heraus,out of here
tages 14578,tages,day
unmöglich 14555,unmöglich,impossible
liebling 14521,liebling,darling
charlie 14515,charlie,Charlie
tatsächlich 14483,tatsächlich,actually
folgen 14452,folgen,consequences
bitten 14438,bitten,ask
behalten 14372,behalten,keep
nähe 14368,nähe,vicinity
arbeite 14361,arbeite,work
joe 14326,joe,Joe
verdammte 14325,verdammte,damn
plötzlich 14269,plötzlich,suddenly
lebens 14235,lebens,life
hole 14206,hole,hole
tisch 14201,tisch,table
michael 14165,michael,Michael
hörte 14154,hörte,heard
jemals 14154,jemals,ever
liegen 14099,liegen,lay
verkaufen 14061,verkaufen,sell
gefährlich 14049,gefährlich,dangerous
anfangen 14033,anfangen,begin
bekommt 14023,bekommt,receives
machte 13967,machte,made
ha 13954,ha,Ha
hotel 13914,hotel,hotel
hilft 13897,hilft,helps
werdet 13891,werdet,become
meister 13869,meister,master
kampf 13849,kampf,battle
antwort 13848,antwort,answer
konnten 13846,konnten,could
geschickt 13831,geschickt,sent
jedem 13818,jedem,each
obwohl 13796,obwohl,although
sieben 13791,sieben,seven
komisch 13783,komisch,funny
gewinnen 13778,gewinnen,win
ihres 13762,ihres,hers
bezahlt 13728,bezahlt,paid
you 13710,you,You
voller 13701,voller,full of
unterwegs 13693,unterwegs,on the way
dumm 13687,dumm,dumb
ärger 13682,ärger,aggravation
bild 13679,bild,picture
george 13673,george,George
neu 13659,neu,new
bezahlen 13651,bezahlen,pay
dagegen 13607,dagegen,against it
seien 13594,seien,be
starb 13560,starb,died
tom 13560,tom,Tom
monaten 13557,monaten,months
leiche 13500,leiche,corpse
niemanden 13495,niemanden,nobody
auge 13475,auge,eye
arschloch 13441,arschloch,asshole
verheiratet 13411,verheiratet,married
peter 13405,peter,Peter
zieh 13387,zieh,pull
nimmt 13374,nimmt,takes
gerettet 13362,gerettet,rescued
agent 13322,agent,agent
traum 13300,traum,dream
entscheidung 13275,entscheidung,decision
schlimmer 13255,schlimmer,worse
regeln 13246,regeln,regulate
fenster 13233,fenster,window
fangen 13232,fangen,catch
fort 13175,fort,on
ständig 13119,ständig,constant
findest 13083,findest,find
gefahr 13071,gefahr,danger
absolut 13045,absolut,absolutely
mary 13042,mary,Mary
augenblick 13032,augenblick,moment
bescheid 13023,bescheid,notice
rum 12996,rum,rum
gedanken 12995,gedanken,thoughts
werd 12947,werd,werry
ziel 12939,ziel,goal
benutzt 12902,benutzt,used
bewegung 12855,bewegung,movement
jemandem 12815,jemandem,someone
wünschte 12812,wünschte,wish
worte 12811,worte,words
kamen 12804,kamen,came
welcher 12787,welcher,which